Syn_Fam,Acc_Fam,Clade
Bucidaceae,Combretaceae,Myrtales
Buddlejaceae,Scrophulariaceae,Lamiales
Buglossaceae,Boraginaceae,Boraginales
Bulbocodiaceae,Colchicaceae,Liliales
Bumeliaceae,Sapotaceae,Ericales
Bupleuraceae,Apiaceae,Apiales
Burchardiaceae,Colchicaceae,Liliales
Burmanniaceae,Burmanniaceae,Dioscoreales
Burseraceae,Burseraceae,Sapindales
Butneriaceae,Calycanthaceae,Laurales
Butomaceae,Butomaceae,Alismatales
Buxaceae,Buxaceae,Buxales
Byblidaceae,Byblidaceae,Lamiales
Byttneriaceae,Malvaceae,Malvales
Cabombaceae,Cabombaceae,Nymphaeales
Cacaoaceae,Malvaceae,Malvales
Cactaceae,Cactaceae,Caryophyllales
Caesalpiniaceae,Fabaceae,Fabales
Caladiaceae,Araceae,Alismatales
Calamaceae,Arecaceae,Arecales
Calceolariaceae,Calceolariaceae,Lamiales
Calectasiaceae,Dasypogonaceae,Arecales
Calendulaceae,Asteraceae,Asterales
Callaceae,Araceae,Alismatales
Callicomaceae,Cunoniaceae,Oxalidales
Calligonaceae,Polygonaceae,Caryophyllales
Callitridaceae,Cupressaceae,Cupressales
Callitrichaceae,Plantaginaceae,Lamiales
Calochortaceae,Liliaceae,Liliales
Calophyllaceae,Calophyllaceae,Malpighiales
Calthaceae,Ranunculaceae,Ranunculales
Calycanthaceae,Calycanthaceae,Laurales
Calyceraceae,Calyceraceae,Asterales
Cambogiaceae,Clusiaceae,Malpighiales
Camelliaceae,Theaceae,Ericales
Campanulaceae,Campanulaceae,Asterales
Camptothecaceae,Nyssaceae,Cornales
Campynemataceae,Campynemataceae,Liliales
Canacomyricaceae,Myricaceae,Fagales
Canellaceae,Canellaceae,Canellales
Cannabaceae,Cannabaceae,Rosales
Cannaceae,Cannaceae,Zingiberales
Canopodaceae,Santalaceae,Santalales
Canotiaceae,Celastraceae,Celastrales
Cansjeraceae,Opiliaceae,Santalales
Capparaceae,Capparaceae,Brassicales
Caprariaceae,Scrophulariaceae,Lamiales
Caprifoliaceae,Caprifoliaceae,Dipsacales
Cardiopteridaceae,Cardiopteridaceae,Aquifoliales
Carduaceae,Asteraceae,Asterales
Caricaceae,Caricaceae,Brassicales
Carissaceae,Apocynaceae,Gentianales
Carlemanniaceae,Carlemanniaceae,Lamiales
Carlinaceae,Asteraceae,Asterales
Carpinaceae,Betulaceae,Fagales
Carpodetaceae,Rousseaceae,Asterales
Cartonemataceae,Commelinaceae,Commelinales
Caryocaraceae,Caryocaraceae,Malpighiales
Caryophyllaceae,Caryophyllaceae,Caryophyllales
Cassiaceae,Fabaceae,Fabales
Cassipoureaceae,Rhizophoraceae,Malpighiales
Cassythaceae,Lauraceae,Laurales
Castaneaceae,Fagaceae,Fagales
Castelaceae,Simaroubaceae,Sapindales
Casuarinaceae,Casuarinaceae,Fagales
Catesbaeaceae,Rubiaceae,Gentianales
Cathedraceae,Aptandraceae,Santalales
Caucaulidaceae,Apiaceae,Apiales
Cecropiaceae,Urticaceae,Rosales
Cedraceae,Pinaceae,Pinales
Cedrelaceae,Meliaceae,Sapindales
Celastraceae,Celastraceae,Celastrales
