taxonID,scientificName,tip_label,family,genus,species,split_length,author.x,genus_hybrid,species_hybrid,taxon_rank,infra_name,comment,usable,id,family.apg,taxon_status,author.y,accepted_plant_name_id,match_type
200626,Aeranthes grandiflora,Aeranthes grandiflora,Orchidaceae,Aeranthes,grandiflora,2,Lindl,,,species,,,,18426,Orchidaceae,Illegitimate,Lindl,3904-wcs,matching authors
200626,Aeranthes grandiflora,Aeranthes grandiflora,Orchidaceae,Aeranthes,grandiflora,2,Lindl,,,species,,,,18426,Orchidaceae,Accepted,Lindl,3940-wcs,matching authors
237837,Passiflora alnifolia,Passiflora alnifolia,Passifloraceae,Passiflora,alnifolia,2,,,,species,,,,21928,Passifloraceae,Illegitimate,Mast,559609-az,
237837,Passiflora alnifolia,Passiflora alnifolia,Passifloraceae,Passiflora,alnifolia,2,,,,species,,,,21928,Passifloraceae,Accepted,Kunth,559822-az,
243116,Valeriana microphylla,Valeriana microphylla,Caprifoliaceae,Valeriana,microphylla,2,,,,species,,,,22453,Caprifoliaceae,Illegitimate,Bedd,462265-az,
243116,Valeriana microphylla,Valeriana microphylla,Caprifoliaceae,Valeriana,microphylla,2,,,,species,,,,22453,Caprifoliaceae,Accepted,Kunth,464656-az,
258998,Allium saxatile,Allium saxatile,Amaryllidaceae,Allium,saxatile,2,MBieb,,,species,,,,23645,Amaryllidaceae,Illegitimate,Pall,294956-wcs,no matching authors
258998,Allium saxatile,Allium saxatile,Amaryllidaceae,Allium,saxatile,2,MBieb,,,species,,,,23645,Amaryllidaceae,Illegitimate,HohenexBoiss,296183-wcs,no matching authors
258998,Allium saxatile,Allium saxatile,Amaryllidaceae,Allium,saxatile,2,MBieb,,,species,,,,23645,Amaryllidaceae,Misapplied,MBieb,295993-wcs,matching authors
258998,Allium saxatile,Allium saxatile,Amaryllidaceae,Allium,saxatile,2,MBieb,,,species,,,,23645,Amaryllidaceae,Accepted,MBieb,296507-wcs,matching authors
268087,Pyrrhopappus multicaulis,Pyrrhopappus multicaulis,Asteraceae,Pyrrhopappus,multicaulis,2,,,,species,,,,24482,Asteraceae,Synonym,DC,1063595-az,
268087,Pyrrhopappus multicaulis,Pyrrhopappus multicaulis,Asteraceae,Pyrrhopappus,multicaulis,2,,,,species,,,,24482,Asteraceae,Synonym,CurtissexAGray,1063581-az,
282540,Hypericum formosum,Hypericum formosum,Hypericaceae,Hypericum,formosum,2,,,,species,,,,25572,Hypericaceae,Illegitimate,Takht,515495-wcs,
282540,Hypericum formosum,Hypericum formosum,Hypericaceae,Hypericum,formosum,2,,,,species,,,,25572,Hypericaceae,Illegitimate,AGray,516624-wcs,
282540,Hypericum formosum,Hypericum formosum,Hypericaceae,Hypericum,formosum,2,,,,species,,,,25572,Hypericaceae,Accepted,Kunth,515496-wcs,
289814,Serjania glabrata,Serjania glabrata,Sapindaceae,Serjania,glabrata,2,,,,species,,,,26151,Sapindaceae,Accepted,Kunth,582694-az,
289814,Serjania glabrata,Serjania glabrata,Sapindaceae,Serjania,glabrata,2,,,,species,,,,26151,Sapindaceae,Invalid,GrisebexRadlk,582778-az,
289814,Serjania glabrata,Serjania glabrata,Sapindaceae,Serjania,glabrata,2,,,,species,,,,26151,Sapindaceae,Illegitimate,Benth,582734-az,
289815,Serjania polyphylla,Serjania polyphylla,Sapindaceae,Serjania,polyphylla,2,,,,species,,,,26152,Sapindaceae,Invalid,PoirexSteud,543786-az,
289815,Serjania polyphylla,Serjania polyphylla,Sapindaceae,Serjania,polyphylla,2,,,,species,,,,26152,Sapindaceae,Accepted,(L)Radlk,582550-az,
289815,Serjania polyphylla,Serjania polyphylla,Sapindaceae,Serjania,polyphylla,2,,,,species,,,,26152,Sapindaceae,Invalid,WilldexSchltdl&Cham,582852-az,
294048,Tillandsia disticha,Tillandsia disticha,Bromeliaceae,Tillandsia,disticha,2,,,,species,,,,26568,Bromeliaceae,Accepted,Kunth,268895-wcs,
294048,Tillandsia disticha,Tillandsia disticha,Bromeliaceae,Tillandsia,disticha,2,,,,species,,,,26568,Bromeliaceae,Illegitimate,(L)WilldexSchult&Schultf,269742-wcs,
300900,Valeriana ceratophylla,Valeriana ceratophylla,Caprifoliaceae,Valeriana,ceratophylla,2,,,,species,,,,27100,Caprifoliaceae,Illegitimate,(Hook)MacMill,1258995-az,
300900,Valeriana ceratophylla,Valeriana ceratophylla,Caprifoliaceae,Valeriana,ceratophylla,2,,,,species,,,,27100,Caprifoliaceae,Accepted,Kunth,464283-az,
309290,Ficus obtusifolia,Ficus obtusifolia,Moraceae,Ficus,obtusifolia,2,,,,species,,,,27602,Moraceae,Accepted,Kunth,811522-az,
309290,Ficus obtusifolia,Ficus obtusifolia,Moraceae,Ficus,obtusifolia,2,,,,species,,,,27602,Moraceae,Illegitimate,Roxb,810117-az,
313078,Lathyrus angulatus,Lathyrus angulatus,Fabaceae,Lathyrus,angulatus,2,L,,,species,,,,28015,Fabaceae,Accepted,L,352119-az,matching authors
313078,Lathyrus angulatus,Lathyrus angulatus,Fabaceae,Lathyrus,angulatus,2,L,,,species,,,,28015,Fabaceae,Misapplied,L,351119-az,matching authors
327363,Oberonia iridifolia,Oberonia iridifolia,Orchidaceae,Oberonia,iridifolia,2,,,,species,,,,29308,Orchidaceae,Illegitimate,(Roxb)Lindl,136489-wcs,
327363,Oberonia iridifolia,Oberonia iridifolia,Orchidaceae,Oberonia,iridifolia,2,,,,species,,,,29308,Orchidaceae,Illegitimate,Lindl,136352-wcs,
327363,Oberonia iridifolia,Oberonia iridifolia,Orchidaceae,Oberonia,iridifolia,2,,,,species,,,,29308,Orchidaceae,Misapplied,FMuell,136315-wcs,
